Idx,Station,Latitude,Longitude,Comment,altitude
7,ÅS,59.6605,10.7818,Data directly from NIBIO (not FROST),
35,DOVRE-LANNEM,62.0172,9.2143,Missing one fall season,
36,HEMSEDAL SKISENTER,60.8397,8.4968,4 years after filtering,
37,FLESLAND,60.2892,5.2265,Large amount of too high values filtered,
38,BERGEN - FLORIDA UIB,60.3837,5.332,Data added from web,
39,TRONDHEIM - GLØSHAUGEN,63.4153,10.4072,,
41,KARASJOK - MARKANNJARGA,69.4635,25.5023,,
42,HOPEN,76.5097,25.0133,,
43,JAN MAYEN,70.9394,-8.6690,,
45,GAUSDAL - FOLLEBU,61.22470093,10.2588,"Somewhat suspicious, should probably not be included in resource assessment",
46,JUVVASSHØE,61.6775,8.3690,Large amout of high obs (relative to cs),
49,RÅDE - TOMB,59.3188,10.8145,,
50,RYGGE - HUGGENES,59.3980,10.7543,,
51,LIER,59.7908,10.2598,,
52,HØNEFOSS - HVERVEN,60.1403,10.2662,,
53,GRAN,60.3558,10.5592,,
56,RAMNES - KILE VESTRE,59.3808,10.2397,,
57,TJØLLING,59.0467,10.1250,,
58,GJERPEN - ÅRHUS,59.2268,9.5772,,
61,BØ,59.4175,9.0287,,
62,ØSAKER,59.3193,11.0422,,
63,LYNGDAL,58.1340,7.0452,,
65,ETNE II,59.6625,5.9538,,
66,MIDTSTOVA,60.6563,7.2755,Max values are too low should probably not be included in resouce assessment,
68,NJØS,61.1792,6.8608,,
69,LINGE,62.2880,7.2173,,
70,LEBERGSFJELLET,62.5158,6.8717,,
71,TINGVOLL,62.9133,8.1862,,
72,SURNADAL - SYLTE,62.9853,8.6895,Max values are too low should probably not be included in resource assessment,
73,SKJETLEIN,63.3403,10.2973,,
75,RISSA III,63.5858,9.9705,Max values are relatively low,
77,RENA - ØRNHAUGEN,61.3763,11.4992,"No clear obs/clear sky peak after filtering, looks ""suspicious"" should probably not be included in resource assessment",
79,VALNESFJORD,67.2763,15.1018,Max values are relatively low,
80,LOSISTUA,68.1905,17.7905,Low min. monthly cover,
81,SORTLAND - KLEIVA,68.6480,15.2832,,
82,ALVDAL,62.1093,10.6268,,
83,SNØHEIM,62.2958,9.3520,,
84,ISKORAS II,69.3003,25.3460,Large amout of high obs (relative to cs),
85,FÅVANG,61.4582,10.1872,Large amout of high obs (relative to cs). Relatively high ratio obs/cs on clear days,
86,SANDE - GALLEBERG,59.6193,10.2150,,
87,RAKKESTAD,59.3882,11.3905,,
88,ÅRNES,60.1268,11.3933,,
89,ULLENSVANG FORSØKSGARD,60.3185,6.6538,,
90,ROVERUD,60.2537,12.0913,Drift? Wrong ratio obs/cs when compared to other staions in the region should probably not be included in resource assessment,
92,NORDNESFJELLET,69.5576,20.4153,,
93,OSLO - BLINDERN,59.9423,10.7200,,
94,PASVIK - SVANVIK,69.4552,30.0410,,
95,KVITHAMAR,63.4882,10.8795,,
96,ØSTRE TOTEN - APELSVOLL,60.7002,10.8695,,
97,LØKEN I VOLBU,61.1220,9.0630,,
98,LANDVIK,58.3400,8.5225,,
99,SÆRHEIM,58.7605,5.6508,,
100,FURENESET,61.2928,5.0443,,
102,TROMSØ - HOLT,69.6538,18.9095,,
103,KISE PA HEDMARK,60.7733,10.8055,,
X1,Finse (UiO),60.5932,7.5241,,
X2,Sandefjord (Jotun),59.1061,10.2455,,
X3,Tromsø (UiT),69.6818,18.9776,,
X4,Galgu (UiT),69.1469,20.7467,,
